actor,titulo,personaje
Sr(a). Abigail Almonte,Zona de guerra,El villano
Esteban Solano Soto,Zona de guerra,El traidor
Aurora Villagómez,El legado,El lider
Gabriela Israel Ayala Alcántar,El legado,La madre
Mateo Martínez,El legado,El cientifico
Frida Beatriz Reyna,El legado,El lider
Rosalia Nancy Flores,La trampa mortal,La madre
Ing. Amelia Correa,La trampa mortal,La madre
Rocío Helena Caldera Escalante,Detonacion,El cientifico
Juan Jaramillo,Detonacion,El villano
Clemente Candelaria,El tiempo se acaba,El cientifico
Mtro. Salma Mondragón,El tiempo se acaba,La protagonista
Mateo Martínez,El tiempo se acaba,La detective
Dr. Francisca Lovato,El tiempo se acaba,El amigo
Gabino Sáenz Garay,El tiempo se acaba,El amigo
Alvaro Márquez,La oscuridad interior,El villano
Miguel Rosario Barragán,La oscuridad interior,La protagonista
Daniel Magdalena Galindo Partida,La oscuridad interior,El mentor
Dr. Lourdes Huerta,La oscuridad interior,La protagonista
Cristian Jorge Ontiveros,Furia imparable,El lider
María Cristina Garica Quiñónez,Furia imparable,La detective
Uriel Héctor Ávalos Carrillo,Furia imparable,El amigo
Mtro. Barbara Almanza,Furia imparable,La protagonista
Mtro. Alta  Gracia Botello,Furia imparable,La protagonista
Gloria Jáquez,El punto final,La madre
Carmen Pamela Dávila,El punto final,El villano
Juan Jaramillo,El punto final,El traidor
Lic. Carmen Nava,La amenaza,El traidor
Uriel Héctor Ávalos Carrillo,La amenaza,El heroe
Nancy Ignacio Aguilera,La amenaza,El amigo
Cristian Jorge Ontiveros,La amenaza,El villano
Estela Catalina Páez,La amenaza,El amigo
Yuridia Girón Rojo,Sin identidad,El traidor
Gustavo Roberto Zúñiga,Sin identidad,El amigo
Hugo Victoria Garica Rodrígez,Sin identidad,La protagonista
Jacobo Javier Zamudio,Sin identidad,El cientifico
Yuridia Girón Rojo,El precio del poder,La protagonista
Alberto Susana Méndez Santiago,El precio del poder,La madre
Mtro. Salma Mondragón,El precio del poder,El cientifico
María Teresa Bermúdez,El precio del poder,La protagonista
Sofía Berta Cortez,La caida libre,La madre
Alvaro Marisol Flores,La caida libre,La detective
Gabriela Israel Ayala Alcántar,La caida libre,El heroe
Lucas Salvador Alonzo Jaimes,Explosion,La madre
Dr. Lourdes Huerta,Explosion,La protagonista
Sr(a). Oswaldo Portillo,Explosion,El traidor
Salvador Ricardo Armas,Explosion,El cientifico
Dr. Verónica Rendón,Explosion,El cientifico
Gloria Jáquez,El juego mortal,La detective
Mtro. Estela Báez,El juego mortal,El villano
Cristian Jorge Ontiveros,La red,El traidor
Rosario Arellano Portillo,La red,El mentor
Adán Vela,La red,El mentor
Yuridia Girón Rojo,La red,El villano
Rafaél Gurule Benavides,Bajo cero,El amigo
Mtro. Alta  Gracia Botello,Bajo cero,El lider
Esteban Rojo Enríquez,Bajo cero,La madre
María Cristina Garica Quiñónez,Bajo cero,El villano
Frida Beatriz Reyna,El silencio roto,El mentor
Mtro. Salma Mondragón,El silencio roto,El amigo
Gabino Sáenz Garay,El silencio roto,El lider
Patricia Estefanía Cadena Magaña,El silencio roto,El mentor
Mtro. Salma Mondragón,La ultima frontera,La detective
Sr(a). Lilia Becerra,La ultima frontera,El villano
Silvano Óliver Granado,Sombra y luz,El heroe
Carmen Pamela Dávila,Sombra y luz,El traidor
Aurora Villagómez,Sombra y luz,El heroe
Irma Ureña,Sombra y luz,El amigo
Paola Sevilla Robles,El destino marcado,La madre
Sofía Puente,El destino marcado,La protagonista
Lic. Carmen Nava,La fuerza del mal,El traidor
Frida Beatriz Reyna,La fuerza del mal,El mentor
Gloria Jáquez,La fuerza del mal,La protagonista
Mariana Andrea Montalvo Regalado,La fuerza del mal,El cientifico
Ing. Andrea Tapia,Colision,El villano
Alberto Susana Méndez Santiago,Colision,El lider
Alta  Gracia Negrete Echeverría,El guerrero,La detective
Gloria Jáquez,El guerrero,La protagonista
Sr(a). Oswaldo Portillo,La verdad prohibida,La detective
Sr(a). Lilia Becerra,La verdad prohibida,El lider
Raquel Elsa de Anda Pérez,Zona de peligro,La detective
Rosalia Nancy Flores,Zona de peligro,El villano
Clemente Candelaria,Zona de peligro,El mentor
María Teresa Bermúdez,Zona de peligro,El lider
Mtro. Bruno Cazares,El infierno verde,La detective
Dr. Lourdes Huerta,El infierno verde,La protagonista
Gabriel Teodoro Toledo,El infierno verde,El villano
Itzel Paz Luevano,El infierno verde,El amigo
Lic. Arturo Gamez,El infierno verde,El cientifico
Felipe Alicia Frías,La persecucion,El heroe
Aldo Granados,La persecucion,El villano
Alvaro Marisol Flores,Torbellino,El cientifico
Sr(a). Lilia Becerra,Torbellino,El cientifico
Gabriel Teodoro Toledo,La segunda oportunidad,El traidor
Dr. Elsa Corona,La segunda oportunidad,El villano
Ing. Enrique Guevara,La segunda oportunidad,El villano
Silvia Macías,Sin memoria,El villano
Felipe Alicia Frías,Sin memoria,El cientifico
Mariana Andrea Montalvo Regalado,Sin memoria,La protagonista
Sr(a). Abigail Almonte,El proyecto secreto,El amigo
Rosalia Rincón Ruelas,El proyecto secreto,El heroe
Zacarías Timoteo Vaca,El proyecto secreto,El lider
Carmen Pamela Dávila,El proyecto secreto,El lider
Silvia Macías,La cadena rota,La madre
Clemente Candelaria,La cadena rota,El lider
Dolores Vargas,La cadena rota,La protagonista
Nancy Ignacio Aguilera,Insurreccion,El amigo
Ariadna Alarcón,Insurreccion,El cientifico
Eloisa Henríquez Gastélum,Insurreccion,El villano
Alfredo Lucas Flores Navarro,El ladrón de sueños,La detective
Gloria Jáquez,El ladrón de sueños,El amigo
Indira Enrique Paz Lemus,El ladrón de sueños,La protagonista
Estela Catalina Páez,La profecia,El heroe
Guillermo Gaitán,La profecia,La madre
Uriel Héctor Ávalos Carrillo,La profecia,El lider
Magdalena Abreu,La profecia,El lider
Patricia Estefanía Cadena Magaña,Cero absoluto,El cientifico
Yuridia Escobar Casillas,Cero absoluto,La madre
Gabino Sáenz Garay,Cero absoluto,El cientifico
Mariana Noelia Ontiveros,Cero absoluto,La protagonista
Luisa Perea,Cero absoluto,El cientifico
Dr. Verónica Rendón,El guardian,El amigo
Carmen Pamela Dávila,El guardian,La detective
Sr(a). Hilda Ávalos,El guardian,El traidor
Marisol Aranda,El guardian,El cientifico
Aldo Granados,El guardian,El amigo
Ing. Enrique Guevara,La mente oscura,La detective
Gabriela Israel Ayala Alcántar,La mente oscura,La madre
Sr(a). Lilia Becerra,La mente oscura,El mentor
Juan Jaramillo,La mente oscura,El cientifico
Aurora Miguel Ángel Carrero Colunga,La mente oscura,El cientifico
Patricia Estefanía Cadena Magaña,Desolacion,El amigo
Sofía Puente,Desolacion,El heroe
Dr. Lourdes Huerta,Desolacion,El villano
Lic. Arturo Gamez,Desolacion,El amigo
Marcela Inés Zarate,Desolacion,El amigo
Itzel Paz Luevano,El ultimo comando,El mentor
Rosario Arellano Portillo,El ultimo comando,El traidor
Rafaél Gurule Benavides,El ultimo comando,El villano
Ing. Andrea Tapia,El ultimo comando,El cientifico
Dr. Lourdes Huerta,La isla perdida,La protagonista
Gabino Sáenz Garay,La isla perdida,La madre
Indira Enrique Paz Lemus,La isla perdida,El mentor
Esther Barbara Vera Escamilla,La isla perdida,El cientifico
Sr(a). Hilda Ávalos,Sin piedad,El traidor
Lic. Martha Aguilera,Sin piedad,El traidor
María Eugenia Clara Medrano,Sin piedad,La madre
Yuridia Girón Rojo,Sin piedad,El heroe
Gustavo Roberto Zúñiga,Sin piedad,La detective
Mauricio Crespo Valles,El cruce,El villano
Mtro. Estela Báez,El cruce,El traidor
Ing. Amelia Correa,El cruce,El amigo
Marisol Aranda,El cruce,El villano
Daniel Magdalena Galindo Partida,El cruce,El cientifico
Lic. Arturo Gamez,La tela de araña,El villano
Elisa Alfaro,La tela de araña,El heroe
Aldo Granados,La tela de araña,El heroe
Marisol Aranda,Evasion total,El villano
Clemente Candelaria,Evasion total,El mentor
Alvaro Márquez,Evasion total,El cientifico
Itzel Paz Luevano,Evasion total,El cientifico
Daniel Magdalena Galindo Partida,El monstruo interior,El amigo
Gloria Jáquez,El monstruo interior,El cientifico
Miguel Rosario Barragán,El monstruo interior,El lider
Dr. Elsa Corona,El monstruo interior,El traidor
Cristina Cynthia Zavala Padilla,La guerra fria,La protagonista
Silvano Óliver Granado,La guerra fria,El villano
Sr(a). María Eugenia Saldivar,Punto de no retorno,El mentor
Gabriela Alcala Carranza,Punto de no retorno,El traidor
Sofía Puente,Punto de no retorno,El mentor
Alberto Susana Méndez Santiago,Punto de no retorno,La protagonista
Zacarías Timoteo Vaca,Punto de no retorno,El lider
Silvano Óliver Granado,El enviado,El cientifico
Silvia Macías,El enviado,El lider
Alfredo Lucas Flores Navarro,La venganza perfecta,El lider
Rafaél Gurule Benavides,La venganza perfecta,El amigo
Yuridia Girón Rojo,La venganza perfecta,La detective
Aldo Granados,La venganza perfecta,El heroe
Rocío Helena Caldera Escalante,Caos total,El villano
Aurora Miguel Ángel Carrero Colunga,Caos total,El villano
Dr. Verónica Rendón,Caos total,El amigo
Ing. Amelia Correa,Caos total,La detective
Sr(a). María Eugenia Saldivar,Caos total,El mentor
Uriel Héctor Ávalos Carrillo,El vigilante,El traidor
Itzel Paz Luevano,El vigilante,El lider
Esther Barbara Vera Escamilla,El vigilante,La detective
Adela Lozano,El vigilante,El villano
Estela Catalina Páez,El vigilante,El cientifico
Mariana Andrea Montalvo Regalado,La clave perdida,El villano
Mtro. Bruno Cazares,La clave perdida,El amigo
Mateo Martínez,La clave perdida,El traidor
Jacobo Javier Zamudio,Sin escape,La madre
Nancy Ignacio Aguilera,Sin escape,La madre
Sr(a). Hilda Ávalos,Sin escape,El heroe
Rosalia Nancy Flores,Sin escape,La madre
María Teresa Bermúdez,El vacio,La madre
Daniel Magdalena Galindo Partida,El vacio,El traidor
Adán Vela,El vacio,La protagonista
Lic. César Meraz,El vacio,El cientifico
Rosario Arellano Portillo,La sombra del pasado,El cientifico
Gabriela Alcala Carranza,La sombra del pasado,La madre
Diego Miriam Ballesteros,La sombra del pasado,El traidor
Miguel Rosario Barragán,Colisión de mundos,El lider
Silvano Óliver Granado,Colisión de mundos,El lider
Berta Ornelas Almaraz,Colisión de mundos,El traidor
Alvaro Márquez,Colisión de mundos,El villano
Adriana Agustín Lara,El ultimo susurro,El traidor
Marcela Inés Zarate,El ultimo susurro,El cientifico
Esteban Solano Soto,El ultimo susurro,El traidor
Paola Sevilla Robles,El ultimo susurro,El mentor
Daniel Magdalena Galindo Partida,El ultimo susurro,El villano
María Teresa Bermúdez,La bestia,El villano
Alvaro Márquez,La bestia,El mentor
María Eugenia Clara Medrano,Territorio enemigo,La madre
Esther Barbara Vera Escamilla,Territorio enemigo,El lider
Irma Ureña,Territorio enemigo,El traidor
Dr. Francisca Lovato,El riesgo calculado,La madre
Felipe Alicia Frías,El riesgo calculado,La protagonista
Alfredo Lucas Flores Navarro,El riesgo calculado,La detective
Ing. Amelia Correa,El riesgo calculado,La protagonista
Dr. Lourdes Huerta,El riesgo calculado,La madre
Esteban Rojo Enríquez,La oscuridad eterna,El amigo
Ing. Amelia Correa,La oscuridad eterna,La madre
Marcela Inés Zarate,La oscuridad eterna,El traidor
Marisol Aranda,La oscuridad eterna,El villano
Aurora Villagómez,La oscuridad eterna,El amigo
Gabriel Teodoro Toledo,Fuga imposible,El heroe
Sr(a). Lilia Becerra,Fuga imposible,La protagonista
Rosario Arellano Portillo,Fuga imposible,El amigo
Silvano Óliver Granado,Fuga imposible,El traidor
Ing. Andrea Tapia,El precio de la verdad,El lider
Cristian Jorge Ontiveros,El precio de la verdad,El villano
Silvano Óliver Granado,La señal perdida,El amigo
Mariana Andrea Montalvo Regalado,La señal perdida,La madre
Flavio de la Rosa,Sin retorno,El heroe
Marcela Inés Zarate,Sin retorno,El cientifico
Sr(a). Abigail Almonte,Sin retorno,El heroe
Dolores Vargas,Sin retorno,El traidor
Rosalia Nancy Flores,Sin retorno,El cientifico
Aldo Granados,El despertador,El cientifico
Felipe Alicia Frías,El despertador,La protagonista
Paola Sevilla Robles,El despertador,El mentor
Daniel Magdalena Galindo Partida,El despertador,La detective
Raquel Elsa de Anda Pérez,La alianza,El amigo
Gabriela Israel Ayala Alcántar,La alianza,El heroe
Hugo Victoria Garica Rodrígez,La alianza,El lider
Sr(a). Oswaldo Portillo,Implosion,El cientifico
Mtro. Estela Báez,Implosion,El heroe
Sofía Puente,Implosion,El amigo
Ing. Enrique Guevara,Implosion,El villano
Adán Vela,El mensajero,El amigo
Carmen Pamela Dávila,El mensajero,La protagonista
Dr. Verónica Rendón,La rueda del destino,El traidor
Clemente Rosado,La rueda del destino,El heroe
Sr(a). Abigail Almonte,La rueda del destino,El lider
Adriana Agustín Lara,La rueda del destino,La madre
Gabriel Teodoro Toledo,Punto critico,El amigo
Gabriela Alcala Carranza,Punto critico,El mentor
Adela Lozano,Punto critico,La detective
Mtro. Bruno Cazares,Punto critico,La madre
Esteban Rojo Enríquez,El ultimo grito,El heroe
Aurora Villagómez,El ultimo grito,El amigo
Berta Ornelas Almaraz,La sombra del futuro,El lider
Rafaél Gurule Benavides,La sombra del futuro,El heroe
Esther Humberto Bétancourt,Sin fronteras,La detective
Lic. Carmen Nava,Sin fronteras,El villano
Gustavo Roberto Zúñiga,El error fatal,El heroe
Esteban Solano Soto,El error fatal,La protagonista
Uriel Héctor Ávalos Carrillo,El error fatal,El amigo
Guillermo Gaitán,El error fatal,La protagonista
Sr(a). Lilia Becerra,La noche de los lobos,El heroe
Sr(a). María Eugenia Saldivar,La noche de los lobos,El cientifico
Carmen Pamela Dávila,La noche de los lobos,La madre
Ariadna Alarcón,La noche de los lobos,El traidor
Lic. César Meraz,Zona prohibida,El heroe
Indira Enrique Paz Lemus,Zona prohibida,El villano
María Cristina Garica Quiñónez,El cazador de almas,El heroe
Dr. Francisca Lovato,El cazador de almas,El amigo
Mtro. Barbara Almanza,El cazador de almas,La detective
Claudia Naranjo,La espiral,El amigo
Uriel Héctor Ávalos Carrillo,La espiral,El lider
María Teresa Bermúdez,La espiral,La madre
Gabino Sáenz Garay,La espiral,El mentor
Mtro. Barbara Almanza,La espiral,El cientifico
Irma Ureña,Derrumbe,El heroe
Luisa Perea,Derrumbe,El lider
Mariana Andrea Montalvo Regalado,Derrumbe,El traidor
Raquel Elsa de Anda Pérez,Derrumbe,La madre
Mauricio Crespo Valles,El tercer ojo,La detective
Mtro. Bruno Cazares,El tercer ojo,El cientifico
Adela Lozano,El tercer ojo,El lider
Hugo Victoria Garica Rodrígez,El tercer ojo,El heroe
Rocío Helena Caldera Escalante,La ultima batalla,La detective
Adriana Agustín Lara,La ultima batalla,El cientifico
Gabriel Teodoro Toledo,La ultima batalla,La madre
María Teresa Bermúdez,La ultima batalla,El heroe
Hugo Victoria Garica Rodrígez,Sin cuartel,El traidor
Lic. César Meraz,Sin cuartel,El cientifico
Gabino Sáenz Garay,Sin cuartel,El mentor
Adela Lozano,Sin cuartel,La protagonista
Jacobo Javier Zamudio,Sin cuartel,El cientifico
Alta  Gracia Negrete Echeverría,El abismo oscuro,La protagonista
Alberto Susana Méndez Santiago,El abismo oscuro,La detective
Ing. Andrea Tapia,La caja de pandora,La detective
Indira Enrique Paz Lemus,La caja de pandora,El villano
Irma Ureña,La caja de pandora,El amigo
Mariana Andrea Montalvo Regalado,Golpe mortal,La detective
Sr(a). Hilda Ávalos,Golpe mortal,El heroe
Guillermo Gaitán,Golpe mortal,El cientifico
